"source_package","record_id","version","transition_from","chapter","artifact_path","artifact_role","planned_change","reported_result","artifact_evidence","change_class","prior_claim","verification_status","severity","source_lines","dependencies","notes"
"L5_cross_version","L5-011","v1.0.19","v1.0.18.2","cross-version","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-08-v1019-ch1-fable-rewrite-plan.md","master plan","P1-P5: curate briefing and asset checklist, Fable rewrite, ten-reviewer comparison, Fable correction, final validation","Ledger reports Ch1 and Ch2 rewrite/review chains complete","The declared chain and closeout are documented; asset identity and physics claims are audited separately","version-transition","v1.0.19 is the rewrite successor to v1.0.18.2","확정","Info","lines 33-49","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1019_EXECUTION_LEDGER.md lines 1-56","No inference is made from model name to outcome."
"L5_cross_version","L5-012","v1.0.20","v1.0.19","cross-version","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\plans\2026-07-16-v1020-master-plan.md","master plan","P0-P8, Steps 1-98: environment and source ledger, Ch1/Ch2 expansion, convention pass, ten-window audit, closeout","Ledger marks P0-P8 PASS and v1.0.20 frozen","The plan and ledger establish the phase chain and frozen declaration","version-transition","v1.0.20 is the frozen expanded-textbook baseline","확정","Info","lines 68-82","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\results\V1020_EXECUTION_LEDGER.md lines 8-16","Frozen does not close listed source or future-work gaps."
"L5_cross_version","L5-013","v1.0.21","v1.0.20","cross-version","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-16-v1021-master-plan.md","master plan","Q0-Q10 with ledger Steps 1-58: statistical mechanics, figures, navigation, worked examples, Si bridgehead, code disposition, closeout","Ledger records Q9/Q10 as Steps 57-58 absorbed by v1.0.22 R0 and closes v1.0.21 into v1.0.22","The transition and absorbed closeout are explicit","version-transition","v1.0.21 independently completed Q0-Q10 before v1.0.22","확정","Info","lines 30-44","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.21\results\V1021_EXECUTION_LEDGER.md lines 7-19","The final two steps were executed as a v1.0.22 source-transition block."
"L5_cross_version","L5-014","v1.0.22","v1.0.21","cross-version","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-17-v1022-master-plan.md","master plan","R0-R9 plus later AUD, ledger Steps 1-72: three-chapter reorganization, lineage audit, Ch1-Ch3 writing, code, figures, closeout, adversarial audit","Ledger marks every block PASS","The declared execution chain is complete in the ledger, but final-versus-draft status conflicts with handover and merge-readiness text","version-transition","v1.0.22 is fully finalized and frozen","미결","Medium","lines 53-64, 71-84","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\V1022_EXECUTION_LEDGER.md lines 7-24; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md lines 1-3","Execution completion is confirmed; authority of the word final is unresolved."
"L5_cross_version","L5-015","v1.0.23","v1.0.22","cross-version","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-18-v1023-ratio-and-advanced-methods-plan.md","master plan","P0-P5, Steps 1-28; execute P0, P1, P2, P3, optional P4, and P5 closeout","Ledger records P0, P1, P2, P3, P5 complete; P4 Fisher option skipped because approval was not given","The planned and actual step ranges are explicit","version-transition","v1.0.23 completed all mandatory phases and skipped only the optional phase","확정","Info","lines 48-57, 98-154, 207-225","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\results\V1023_EXECUTION_LEDGER.md lines 6-12","Documentary closeout is confirmed; runtime and scientific claims remain separately classified."
"L5_cross_version","L5-016","v3-v5","v3","cross-version history","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\Fable_점검\FABLE_AUDIT_note_A1_v3-v5.md","historical cross-version audit","Preserve equations and improve structure through multi-model authorship","Audit reports 97 formulas retained from v4 to v5 but prose and boxes removed, followed by an overfull regression after convergence","The audit is internally specific, but L5 did not independently compare the historical version-local artifacts","historical-retention","Complete semantic retention and stable formatting were achieved by v5","미검증","Medium","lines 1-188","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\Fable_점검\FABLE_AUDIT_01_history_v3-v1011.md lines 1-72","Treat as an authored audit claim, not independent proof."
"L5_cross_version","L5-017","v6-v10","v5","cross-version history","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\Fable_점검\FABLE_AUDIT_note_A2_v5-v7.md","historical cross-version audit","Continue equation-led textbook development without losing derivations","A2-A4 report deliberate derivation loss at v7, partial restoration at v8, LCO expansion at v9, and broadening restoration at v10 while w_eff stayed removed","The cross-version audits document a loss-and-restoration chain; L5 did not independently inspect all historical artifacts","historical-regression-and-restoration","Each successor fully retained predecessor derivations","미검증","High","lines 1-142","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\Fable_점검\FABLE_AUDIT_note_A3_v7-v9.md lines 1-159; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\Fable_점검\FABLE_AUDIT_note_A4_v9-v1011.md lines 1-127","This is a documentary regression claim, not a direct artifact verdict."
"L5_cross_version","L5-018","v1.0.10","v10","cross-version","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_INSPECT_UNION.md","inspection union","Find structural and physics defects in the v1.0.10 handover","The union raised a CRIT structural reading, while the later integrity report explicitly retracted that reading and classified the bell form as intentional physics","The contradiction and retraction are directly documented; L5 does not adjudicate the underlying physics","claim-retraction","The union's CRIT item was a confirmed structural defect","확정","High","lines 1-55","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\V1010_HANDOVER_INTEGRITY_REPORT.md lines 1-45; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_HANDOVER_INSPECT_UNION.md lines 1-36","Do not propagate the retracted CRIT item as an open defect."
"L5_cross_version","L5-019","v1.0.11","v1.0.10","code","D:\Projects\Project_Anode_Fit\Codex\results\phase002_exact_duplicate_map.csv","exact-duplicate evidence","Copy the v1.0.10 code into v1.0.11 before equation-led document work","The two Python files have identical SHA-256 19e9c2be56d32fb638ea3ceece3369111781bb86a5edb7bd660b2806df373a2b","The Phase 002 duplicate map independently establishes byte identity","matched-code","v1.0.11 changed runtime code behavior relative to v1.0.10","확정","Info","lines 1-290","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1011_EXECUTION_LEDGER.md lines 7-17","Byte identity says nothing about document correctness."
"L5_cross_version","L5-020","v1.0.12","v1.0.11","cross-version audit","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1012_P43_verify10.md","ten-pass verification record","Re-audit physics, logic, and code-document mapping and close confirmed defects","The record identifies and treats a sign/direction defect, MSMR correspondence issue, and ungrounded LCO Omega claim, then reports final gates","The document proves that prior zero-defect confidence was not durable; the scientific fixes were not independently recalculated by L5","defect-discovery-and-closure","Earlier versions had no remaining physics or grounding defects","미검증","High","lines 1-241","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1012_P43_review_UNION.md lines 1-24; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1012_EXECUTION_LEDGER.md lines 7-18","Prior reviewer agreement is evidence of a claim, not independent validation."
"L5_cross_version","L5-021","v1.0.13","v1.0.12","regression","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md","correction record","Carry the v1.0.12 regression suite forward as a no-regression gate","The ledger says the earlier 13/13 result was ineffective because scripts targeted v1.0.10 and no-argument capture mode; v1.0.13 corrected the target","The invalidated assurance is explicitly documented","false-regression-assurance","v1.0.12's 13/13 result verified the v1.0.12 artifact","확정","High","lines 18-19, 32","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-02-v1013-restructure-master-plan.md lines 16-22","This is a test-target defect, not evidence that the runtime itself regressed."
"L5_cross_version","L5-022","v1.0.13-v1.0.14","v1.0.12","review convergence","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md","process-gate record","Continue review until the literal convergence criterion is met","v1.0.13 and v1.0.14 were closed although the stated two-consecutive-zero finding criterion was not met","The ledgers disclose the criterion mismatch","process-gate-contradiction","Review convergence was achieved exactly as planned","확정","Medium","lines 18-19","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1014_EXECUTION_LEDGER.md lines 21-40","This does not itself prove a physics defect; it invalidates the literal convergence claim."
"L5_cross_version","L5-023","v1.0.14","v1.0.13","references","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1014_REF_SOURCES.md","source-verification ledger","Ground load-bearing constants and claims with primary sources and DOI metadata","The ledger states that some original documents were unavailable and retains three evidence-missing items plus a Park 2021 correction","Bibliographic/source work occurred, but the load-bearing source set was not uniformly verified against originals","source-verification","All v1.0.14 load-bearing source claims were directly verified","미결","High","lines 18-22, 58-107","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1014_EXECUTION_LEDGER.md lines 31-40","Verified metadata and direct claim verification are distinct."
"L5_cross_version","L5-024","v1.0.15","v1.0.14","physics review","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_EXECUTION_LEDGER.md","review ledger","Use six independent reviews before changes","Three Opus reviewers reported CRIT/HIGH physics defects zero, but master re-derivation recorded one LOW physics error and three completeness gaps","The documentary contradiction is explicit; the physical merits were not independently recalculated by L5","review-consensus-limitation","Reviewer consensus established zero physics defects","확정","Medium","lines 15-18","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-05-v1015-code-doc-sync-master-plan.md lines 56-68","Consensus cannot be upgraded to proof."
"L5_cross_version","L5-025","v1.0.16-v1.0.18.1","v1.0.15","code","D:\Projects\Project_Anode_Fit\Codex\results\phase002_exact_duplicate_map.csv","exact-duplicate evidence","Maintain matched default code through register-only revisions","v1.0.16, v1.0.17, and v1.0.18.1 Python files share SHA-256 2079064eaed3572ca3962fd0c9c3aa664f19ea0d7de965ec05b512a396d50ef1","The duplicate map establishes exact byte identity for the three named files","matched-code","The code changed across the register-only versions","확정","Info","lines 1-290","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1016_EXECUTION_LEDGER.md lines 16-21; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1017_EXECUTION_LEDGER.md lines 19-22; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1018_EXECUTION_LEDGER.md lines 12-15","This does not cover the v1.0.18.2 implementation."
"L5_cross_version","L5-026","v1.0.18.2","v1.0.18.1","code and document","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1018_EXECUTION_LEDGER.md","execution and final-review ledger","Add S_vib(T;theta_E) while retaining the old result when theta_E is absent","Ledger reports default bit-exact parity, high-temperature recovery, round trip, and final review; the final review also found two HIGH document-code completeness defects and corrected them","No L5 runtime rerun or independent physics derivation was performed","regression-parity","v1.0.18.2 is independently proven bit-exact on the default path and defect-free","미검증","High","lines 7-8, 15-18, 21-30","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\HANDOVER_v1.0.18.2.md lines 1-29","The presence of later HIGH completeness fixes weakens earlier zero-defect language but does not establish a final regression."
"L5_cross_version","L5-027","v1.0.19-v1.0.22","v1.0.18.2","Ch1 assets","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1019_ASSET_CHECKLIST.md","asset-retention checklist","Retain all 336 Ch1 assets through the v1.0.19 rewrite and later reorganizations","Checklist reports 159 A plus 177 B2 assets; L5 machine scans found the same 336 unique tag IDs in every v1.0.19-v1.0.22 _sections tree","Tag-ID set equality is independently confirmed; wording, equations, placement, and semantic equivalence are not","asset-retention","Complete Ch1 asset retention in every semantic respect","확정","Medium","lines 1-392","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.19\_sections\*.tex all lines in 39 files; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\_sections\*.tex all lines in 39 files; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.21\_sections\*.tex all lines in 41 files; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\_sections\*.tex all lines in 52 files","Verification is deliberately limited to tag identity. Semantic retention remains 미검증."
"L5_cross_version","L5-028","v1.0.19-v1.0.22","v1.0.18.2","Ch2 assets","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1019_CH2_ASSET_CHECKLIST.md","asset-retention checklist","Retain all 133 Ch2 C-tag assets during rewrite and later reorganization","Checklist reports 133 assets; L5 machine scans found the same 133 unique C tag IDs in every v1.0.19-v1.0.22 _sections tree","Tag-ID equality is confirmed, not semantic identity","asset-retention","Complete Ch2 semantic retention","확정","Medium","lines 1-183","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.19\_sections\*.tex all lines in 39 files; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\_sections\*.tex all lines in 39 files; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.21\_sections\*.tex all lines in 41 files; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\_sections\*.tex all lines in 52 files","Semantic equivalence and rendered placement require L3/L4 review."
"L5_cross_version","L5-029","v1.0.19","v1.0.18.2","Ch1 and Ch2 review","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1019_UNION_DEFECTS.md","defect union","Establish no physics-skeleton defects after rewrite comparison","Ch1 union reports zero physics-skeleton defects, while the separate Ch2 union records CU-1 HIGH sign error before later correction","The two statements refer to different chapter unions and different points in time; they cannot support an unqualified version-wide zero-defect claim","zero-defect-scope","v1.0.19 had zero physics defects throughout review","확정","High","lines 5-8, 43-60","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1019_CH2_UNION_DEFECTS.md lines 5-48; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1019_EXECUTION_LEDGER.md lines 35-48","Later closure of CU-1 is a self-reported fix and remains 미검증 scientifically."
"L5_cross_version","L5-030","v1.0.20","v1.0.19","references","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\results\V1020_REFERENCE_LEDGER.md","shared reference ledger","Verify inherited and new references and maintain a cross-version source ledger","The ledger records verification methods and inherited lineage but retains source-detail limitations, including the Safran item; later ledgers carry pending Sethuraman page detail","Metadata verification is documented, while direct support for every load-bearing claim is not established","source-verification","All v1.0.20 source claims were verified against full primary text","미결","High","lines 1-54","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\results\V1020_P1_CITATION_BASELINE.md lines 1-23; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.21\results\V1021_REFERENCE_LEDGER.md lines 1-37","A verified DOI or metadata row is not equivalent to claim-level source verification."
"L5_cross_version","L5-031","v1.0.20","v1.0.19","cross-version status","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\results\V1020_EXECUTION_LEDGER.md","execution ledger","Complete P0-P8 and freeze v1.0.20","Ledger reports frozen status while plans, handovers, and source ledgers retain future work and unresolved source items","Frozen is confirmed as workflow status only","final-or-frozen-status","Frozen means all science, source, and extension questions are closed","확정","Medium","lines 8-16","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\HANDOVER_v1.0.20.md lines 1-74; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.20\results\V1020_REFERENCE_LEDGER.md lines 1-54","Do not use frozen as a synonym for scientifically exhaustive."
"L5_cross_version","L5-032","v1.0.21","v1.0.20","code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.21\results\V1021_EXECUTION_LEDGER.md","execution ledger","Decide whether Q2-Q7 require runtime changes and preserve the previous behavior if not","Q8 records changed functions zero and gate PASS","L5 did not rerun v1.0.21 gates or independently compare behavioral outputs","matched-code","v1.0.21 runtime parity with v1.0.20 is independently established","미검증","Medium","lines 18-19","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.21\HANDOVER_v1.0.21.md lines 1-24","This remains a project-authored test claim."
"L5_cross_version","L5-033","v1.0.22","v1.0.19","all chapters","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\AUDIT_LINEAGE_v19_v22.md","lineage audit","Prove no unlogged asset loss across the v1.0.19-v1.0.22 reorganization","Audit reports 469 tags retained, unlogged removals zero, and one explained hash change; L5 independently confirmed the unique A/B2/C tag set remains 469 in each version v1.0.19-v1.0.22","Tag-set retention is confirmed; the audit itself says an exhaustive prose semantic reread was not done","asset-lineage","All content was semantically preserved without omission or distortion","확정","Medium","lines 1-59","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\V1022_EXECUTION_LEDGER.md lines 8-10; targeted _sections machine scans listed in L5-027 and L5-028","469 tag identity is not proof of prose or equation equivalence."
"L5_cross_version","L5-034","v1.0.22","v1.0.21","reorganization","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\V1022_EXECUTION_LEDGER.md","execution ledger","Retain all assets during R1 reorganization","R1 reports 357/357 no loss, while RA reports 469 lineage tags retained","The two numbers use different inventories: 357 active reorganization assets versus 469 A/B2/C lineage tags; no direct numerical contradiction is established","metric-reconciliation","357 and 469 are competing totals for one identical denominator","확정","Low","lines 8-10","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\AUDIT_LINEAGE_v19_v22.md lines 6-23","L4 should preserve both denominators when integrating version-local evidence."
"L5_cross_version","L5-035","v1.0.22","v1.0.21","cross-version status","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md","handover","Finalize R9 and declare merge-ready status","Handover calls R9 a draft requiring user/master confirmation, while ledger R9 says master finalized; MERGE_READINESS also remains draft and forbids merge build","The authority/status contradiction is direct and unresolved","final-status-contradiction","v1.0.22 closeout documents consistently establish a final state","미결","Medium","lines 1-3, 87-123","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\V1022_EXECUTION_LEDGER.md lines 23-24; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\MERGE_READINESS.md lines 1-21, 157-204","This is status staleness or authority ambiguity, not evidence of source regression."
"L5_cross_version","L5-036","v1.0.22","v1.0.21","self-consistency methods","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md","handover claim","Document open P3-5 self-consistency methods and their applicability","Handover states one ratio method structurally applies to all three self-consistency problems with high confidence","v1.0.23 condition audit later rejects applicability to I and III and retains only lag problem II","scientific-claim-superseded","The ratio method applies to all three self-consistency structures","미결","High","lines 99-115","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\results\comp_v23\COND_AUDIT.md lines 63-74, 228-273","This is a substantive scientific scope correction, not a stale index entry."
"L5_cross_version","L5-037","v1.0.23","v1.0.22","self-consistency methods","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\results\comp_v23\COND_AUDIT.md","condition audit","Test Fredholm-ratio applicability, convergence, and value across three structures","Audit concludes the Fredholm/ratio mapping is appropriate only for causal lag II; I and III are different algebraic structures; claimed value is analytic closure and a validity certificate, not computational savings","The narrowing and supersession are directly documented; L5 did not independently rederive the mathematics","scientific-scope-correction","v1.0.23 validated all three v1.0.22 applicability claims","미검증","High","lines 12-26, 63-74, 228-299","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-18-v1023-ratio-and-advanced-methods-plan.md lines 13-17, 34-44, 98-106","The documentary fact of narrowing is 확정; the scientific correctness of the narrowed derivation is 미검증."
"L5_cross_version","L5-038","v1.0.23","v1.0.22","references","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\results\comp_v23\COND_AUDIT.md","source-grounding audit","Ground Ref.6 and Ref.7 directly or disclose an indirect JCP147 route","Original Ref.6 and Ref.7 texts were unavailable; page and paragraph support is explicitly marked original-indirect","Direct original-source verification was not performed","source-verification","Ref.6 and Ref.7 original derivations were directly verified","근거 미발견","High","lines 262-285","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-18-v1023-ratio-and-advanced-methods-plan.md lines 39-44, 102-106; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\results\V1023_REFERENCE_LEDGER.md lines 1-32","JCP147-based self-contained exposition is not direct verification of the original derivations."
"L5_cross_version","L5-039","v1.0.23","v1.0.22","code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py","targeted final artifact","Add ratio and transfer functions behind a default-off option while preserving prior behavior","L5 full-file AST comparison found 46 common definitions, 43 AST-identical, three changed, three added, and zero removed; the constructor adds a default False flag and dqdv adds an optional branch before the previous path","Static additive structure is confirmed; runtime bit-exact parity was not rerun","regression-parity","v1.0.23 default behavior is independently proven bit-exact","미결","High","lines 1-1585; new functions 146-195 and 466-478; changed methods 314-347, 548-672, 1288-1319","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.22\Anode_Fit_v1.0.22.py lines 1-1500, corresponding methods 254-284, 471-587, 1203-1234; D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\results\comp_v23\AUD_REPORT_v23.md lines 6-12","Static result: 확정. Runtime parity claim: 미검증. The combined row is therefore 미결."
